sig_key,width,toggles
AES_PPRM1_bench.Kvld_PPRM1,1,2
AES_PPRM1_bench.Dvld_PPRM1,1,4
AES_PPRM1_bench.Dout_PPRM1[127:0],128,14 11 10 8 11 11 9 9 10 11 11 9 12 10 7 11 9 10 9 12 11 11 12 10 10 9 8 8 12 16 13 11 10 14 10 13 9 9 9 7 10 8 7 11 10 14 12 7 10 10 13 10 12 12 11 9 10 13 7 9 12 10 6 13 11 11 12 11 14 9 15 10 11 9 13 12 11 8 10 10 9 8 10 8 10 13 12 10 10 12 12 4 10 8 14 7 6 13 11 12 12 8 11 8 11 9 10 10 11 8 11 8 9 12 11 8 11 11 15 11 9 12 10 9 11 6 13 8
AES_PPRM1_bench.BSY_PPRM1,1,4
AES_PPRM1_bench.CLK,1,40055
AES_PPRM1_bench.CT[127:0],128,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AES_PPRM1_bench.Din[127:0],128,0 1 1 0 1 0 0 1 1 1 0 1 0 1 0 1 1 1 0 0 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 1 1 0 1 1 1 1 0 0 0 1 1 0 1 0 0 1 0 0 1 0 1 0 1 1 1 0 1 0 0 1 0 1
AES_PPRM1_bench.Drdy,1,4
AES_PPRM1_bench.EN,1,1
AES_PPRM1_bench.EncDec,1,1
