"Node","Matches"
"UPBOX.145:AS
odat[17] = idat[5];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 17, 17), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 5, 5)]"
"UPBOX.154:AS
odat[35] = idat[14];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 35, 35), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 14, 14)]"
"96:IF","[]"
"USBOXKEY.229:BS
odat = 4'h8;","[('PRESENT_ENCRYPT_TB.dut.USBOXKEY.odat[3:0]', 3, 0)]"
"USBOX.233:BS
odat = 4'h2;","[('PRESENT_ENCRYPT_TB.dut.sbox_loop[0].USBOX.odat[3:0]', 3, 0)]"
"UPBOX.197:AS
odat[45] = idat[54];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 45, 45), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 54, 54)]"
"UPBOX.167:AS
odat[38] = idat[26];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 38, 38), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 26, 26)]"
"UPBOX.144:AS
odat[1] = idat[4];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 1, 1), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 4, 4)]"
"UPBOX.185:AS
odat[58] = idat[43];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 58, 58), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 43, 43)]"
"USBOX.221:BS
odat = 4'hB;","[('PRESENT_ENCRYPT_TB.dut.sbox_loop[0].USBOX.odat[3:0]', 3, 0)]"
"UPBOX.202:AS
odat[62] = idat[59];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 62, 62), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 59, 59)]"
"UPBOX.155:AS
odat[51] = idat[15];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 51, 51), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 15, 15)]"
"UPBOX.175:AS
odat[24] = idat[33];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 24, 24), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 33, 33)]"
"USBOXKEY.232:CA","[]"
"USBOX.230:BS
odat = 4'h4;","[('PRESENT_ENCRYPT_TB.dut.sbox_loop[0].USBOX.odat[3:0]', 3, 0)]"
"UPBOX.177:AS
odat[56] = idat[35];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 56, 56), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 35, 35)]"
"USBOXKEY.228:CA","[]"
"USBOX.224:CA","[]"
"USBOXKEY.Leaf_216:AL","[]"
"UPBOX.187:AS
odat[27] = idat[45];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 27, 27), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 45, 45)]"
"47:AS
odat = dat1;","[('PRESENT_ENCRYPT_TB.odat[63:0]', 63, 0), ('PRESENT_ENCRYPT_TB.dut.dat1[63:0]', 63, 0)]"
"UPBOX.160:AS
odat[52] = idat[19];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 52, 52), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 19, 19)]"
