sig_key,width,toggles
PRESENT_ENCRYPT_TB.odat[63:0],64,539 496 498 534 518 514 523 491 509 485 530 519 497 519 472 529 496 521 499 498 498 505 512 497 522 521 537 520 517 505 484 477 494 511 511 506 521 506 475 520 499 517 480 539 515 536 472 518 522 527 493 520 529 499 565 516 500 520 546 506 475 527 493 525
PRESENT_ENCRYPT_TB.clk,1,2052
PRESENT_ENCRYPT_TB.idat[63:0],64,10 10 9 9 9 9 9 20 10 19 0 9 0 0 19 19 9 10 10 10 10 10 0 10 10 20 10 10 10 20 0 19 19 10 10 10 9 19 19 9 19 9 10 20 10 10 19 10 19 10 10 0 9 9 10 19 10 9 19 19 10 10 20 20
PRESENT_ENCRYPT_TB.key[79:0],80,2 2 4 2 2 0 0 1 1 1 3 3 2 3 2 2 2 4 3 3 1 2 1 3 1 4 1 3 3 1 2 0 3 2 2 3 1 2 3 3 2 2 1 2 2 2 0 2 2 0 0 2 2 2 2 1 2 3 2 1 2 3 2 4 2 3 4 1 2 2 3 1 2 2 3 1 3 2 2 3
PRESENT_ENCRYPT_TB.load,1,50
PRESENT_ENCRYPT_TB.reset,1,0
PRESENT_ENCRYPT_TB.dut.clk,1,2052
PRESENT_ENCRYPT_TB.dut.dat1[63:0],64,539 496 498 534 518 514 523 491 509 485 530 519 497 519 472 529 496 521 499 498 498 505 512 497 522 521 537 520 517 505 484 477 494 511 511 506 521 506 475 520 499 517 480 539 515 536 472 518 522 527 493 520 529 499 565 516 500 520 546 506 475 527 493 525
PRESENT_ENCRYPT_TB.dut.idat[63:0],64,10 10 9 9 9 9 9 20 10 19 0 9 0 0 19 19 9 10 10 10 10 10 0 10 10 20 10 10 10 20 0 19 19 10 10 10 9 19 19 9 19 9 10 20 10 10 19 10 19 10 10 0 9 9 10 19 10 9 19 19 10 10 20 20
PRESENT_ENCRYPT_TB.dut.key[79:0],80,2 2 4 2 2 0 0 1 1 1 3 3 2 3 2 2 2 4 3 3 1 2 1 3 1 4 1 3 3 1 2 0 3 2 2 3 1 2 3 3 2 2 1 2 2 2 0 2 2 0 0 2 2 2 2 1 2 3 2 1 2 3 2 4 2 3 4 1 2 2 3 1 2 2 3 1 3 2 2 3
PRESENT_ENCRYPT_TB.dut.load,1,50
PRESENT_ENCRYPT_TB.dut.odat[63:0],64,539 496 498 534 518 514 523 491 509 485 530 519 497 519 472 529 496 521 499 498 498 505 512 497 522 521 537 520 517 505 484 477 494 511 511 506 521 506 475 520 499 517 480 539 515 536 472 518 522 527 493 520 529 499 565 516 500 520 546 506 475 527 493 525
PRESENT_ENCRYPT_TB.dut.kdat2[79:0],80,508 500 508 509 448 437 520 412 421 449 508 422 467 462 520 439 472 491 548 499 492 510 501 451 429 520 419 430 440 499 428 467 459 502 449 472 487 530 490 500 510 508 440 441 526 419 420 440 501 432 440 442 501 441 496 489 529 463 483 507 539 389 482 500 599 420 440 518 429 429 449 509 447 472 460 519 456 482 499 530
PRESENT_ENCRYPT_TB.dut.kdat1[79:0],80,388 469 483 619 448 437 520 412 421 449 508 422 467 462 520 439 472 491 548 499 492 510 501 451 429 520 419 430 440 499 428 467 459 502 449 472 487 530 490 500 510 508 440 441 526 419 420 440 501 432 440 442 501 441 496 489 529 463 483 507 509 440 442 530 429 420 440 518 429 429 449 509 447 472 460 519 456 482 499 530
PRESENT_ENCRYPT_TB.dut.dat3[63:0],64,499 502 501 513 504 507 520 503 508 490 507 525 506 519 512 469 505 509 516 522 521 489 525 536 511 484 502 539 517 487 498 533 521 525 507 523 523 506 497 507 553 493 467 523 509 526 518 531 521 525 513 525 516 490 496 505 500 503 489 517 494 525 486 516
PRESENT_ENCRYPT_TB.dut.dat2[63:0],64,499 505 521 521 502 509 525 525 501 516 507 513 513 522 523 525 504 521 523 516 507 489 506 490 520 525 497 496 503 536 507 505 508 511 553 500 490 484 493 503 507 502 467 489 525 539 523 517 506 517 509 494 519 487 526 525 512 498 518 486 469 533 531 516
PRESENT_ENCRYPT_TB.dut.dreg[63:0],64,512 498 500 521 501 501 517 506 507 495 501 525 514 516 512 470 504 510 515 516 524 475 522 537 513 487 504 550 523 494 500 529 522 532 504 516 528 497 494 509 544 494 464 527 523 517 514 520 524 514 522 531 520 488 497 494 499 504 486 519 495 531 494 518
PRESENT_ENCRYPT_TB.dut.kreg[79:0],80,499 492 510 501 451 429 520 419 430 440 499 428 467 459 502 449 472 487 530 490 500 510 508 440 441 526 419 420 440 501 432 440 442 501 441 496 489 529 463 483 507 509 440 442 530 429 420 440 518 429 429 449 509 447 472 460 519 456 482 499 530 388 469 483 619 448 437 520 412 421 449 508 422 467 462 520 439 472 491 548
PRESENT_ENCRYPT_TB.dut.round[4:0],5,149 200 349 499 1000
PRESENT_ENCRYPT_TB.dut.sbox_loop[0].USBOX.idat[3:0],4,491 501 495 525
PRESENT_ENCRYPT_TB.dut.sbox_loop[0].USBOX.odat[3:0],4,461 505 523 516
