sig_key,width,toggles
RSA_tb.clkk,1,0
RSA_tb.hahaha,1,0
RSA_tb.rstt,1,0
RSA_tb.Mvld,1,2
RSA_tb.Kvld,1,2
RSA_tb.Dvld,1,2
RSA_tb.Dout[31:0],32,140628 106892 152208 162375 178991 119739 183391 146186 157603 164337 116136 141352 147121 140263 133994 172799 134334 152717 122856 155052 137594 140613 196257 177315 115488 170160 98744 146802 183651 140442 139415 196401
RSA_tb.BSY,1,6
RSA_tb.ANS_OUT,1,1
RSA_tb.CLK,1,3612846
RSA_tb.Din[31:0],32,4 5 3 2 2 4 4 4 4 2 4 2 2 2 3 4 4 5 6 3 7 3 5 4 5 5 4 3 6 6 5 4
RSA_tb.Drdy,1,2
RSA_tb.Kin[31:0],32,4 6 3 2 2 4 4 5 2 5 5 5 4 3 4 7 5 4 4 4 4 6 5 5 5 4 4 6 3 5 4 3
RSA_tb.Krdy,1,2
RSA_tb.Min[31:0],32,4 2 4 3 5 1 5 4 3 5 4 4 3 3 4 5 4 3 2 4 4 3 5 5 4 6 2 4 5 4 3 5
RSA_tb.Mrdy,1,2
RSA_tb.RSTn,1,1
RSA_tb.RSA.CLK,1,3612846
RSA_tb.RSA.Din[31:0],32,4 5 3 2 2 4 4 4 4 2 4 2 2 2 3 4 4 5 6 3 7 3 5 4 5 5 4 3 6 6 5 4
RSA_tb.RSA.Dout[31:0],32,140628 106892 152208 162375 178991 119739 183391 146186 157603 164337 116136 141352 147121 140263 133994 172799 134334 152717 122856 155052 137594 140613 196257 177315 115488 170160 98744 146802 183651 140442 139415 196401
RSA_tb.RSA.Drdy,1,2
RSA_tb.RSA.EN,1,0
RSA_tb.RSA.Kin[31:0],32,4 6 3 2 2 4 4 5 2 5 5 5 4 3 4 7 5 4 4 4 4 6 5 5 5 4 4 6 3 5 4 3
RSA_tb.RSA.Krdy,1,2
RSA_tb.RSA.Min[31:0],32,4 2 4 3 5 1 5 4 3 5 4 4 3 3 4 5 4 3 2 4 4 3 5 5 4 6 2 4 5 4 3 5
RSA_tb.RSA.Mrdy,1,2
RSA_tb.RSA.RSTn,1,1
