"Node","Matches"
"SEQ_BLK.343:IF","[]"
"SEQ_BLK.MODEXP_SEQ.455:BL","[]"
"116:AS
v = r_data_s[0];","[('RSA_tb.RSA.v', 0, 0), ('RSA_tb.RSA.r_data_s[31:0]', 0, 0)]"
"SEQ_BLK.MONTMULT_SEQ.591:AS
Hlt = pc[27];","[('RSA_tb.RSA.SEQ_BLK.MONTMULT_SEQ.Hlt', 0, 0), ('RSA_tb.RSA.SEQ_BLK.MONTMULT_SEQ.pc[27:0]', 27, 27)]"
"MULT_BLK.REG_X.1054:AL","[]"
"SEQ_BLK.MODEXP_SEQ.461:NS
pc <= { pc[10:0], 1'b0 };","[('RSA_tb.RSA.SEQ_BLK.MODEXP_SEQ.pc[11:0]', 11, 0), ('RSA_tb.RSA.SEQ_BLK.MODEXP_SEQ.pc[11:0]', 10, 0)]"
"MEM1.155:BL
mem[A] <= D;","[('RSA_tb.RSA.MEM1.A[6:0]', 6, 0), ('RSA_tb.RSA.MEM1.D[31:0]', 31, 0)]"
"SEQ_BLK.357:IF","[]"
"SEQ_BLK.MONTREDC_SEQ.685:AS
Contmp = decoder(pc, a);","[('RSA_tb.RSA.SEQ_BLK.MONTREDC_SEQ.Contmp[32:0]', 32, 0), ('RSA_tb.RSA.SEQ_BLK.MONTREDC_SEQ.pc[10:0]', 10, 0), ('RSA_tb.RSA.SEQ_BLK.MONTREDC_SEQ.a', 0, 0)]"
"MULT_BLK.REG_X.1055:IF","[]"
"SEQ_BLK.MODEXP_SEQ.464:IF","[]"
"115:AS
w_data = mux3_1_32(d_out, r_data_m, d_in, DSel);","[('RSA_tb.RSA.w_data[31:0]', 31, 0), ('RSA_tb.RSA.d_out[31:0]', 31, 0), ('RSA_tb.RSA.r_data_m[31:0]', 31, 0), ('RSA_tb.RSA.d_in[31:0]', 31, 0), ('RSA_tb.RSA.DSel[1:0]', 1, 0)]"
"SEQ_BLK.329:IF","[]"
"SEQ_BLK.225:BL
state <= MOD_GET;
InOutMem <= 2'b10;","[('RSA_tb.RSA.SEQ_BLK.state[2:0]', 2, 0), ('RSA_tb.RSA.SEQ_BLK.InOutMem[1:0]', 1, 0)]"
"SEQ_BLK.MONTMULT_SEQ.503:BL","[]"
"SEQ_BLK.MONTREDC_SEQ.687:AS
Hlt = pc[10];","[('RSA_tb.RSA.SEQ_BLK.MONTREDC_SEQ.Hlt', 0, 0), ('RSA_tb.RSA.SEQ_BLK.MONTREDC_SEQ.pc[10:0]', 10, 10)]"
"SEQ_BLK.290:BL","[]"
"SEQ_BLK.MONTMULT_SEQ.545:NS
pc <= { pc[26:0], 1'b0 };","[('RSA_tb.RSA.SEQ_BLK.MONTMULT_SEQ.pc[27:0]', 27, 0), ('RSA_tb.RSA.SEQ_BLK.MONTMULT_SEQ.pc[27:0]', 26, 0)]"
"SEQ_BLK.MONTMULT_SEQ.541:NS
pc <= { pc[26:0], 1'b0 };","[('RSA_tb.RSA.SEQ_BLK.MONTMULT_SEQ.pc[27:0]', 27, 0), ('RSA_tb.RSA.SEQ_BLK.MONTMULT_SEQ.pc[27:0]', 26, 0)]"
"SEQ_BLK.LOOP_CON.892:IF","[]"
"SEQ_BLK.222:CS","[]"
"SEQ_BLK.MONTREDC_SEQ.621:IF","[]"
"SEQ_BLK.MONTREDC_SEQ.630:IF","[]"
"SEQ_BLK.265:IF","[]"
"SEQ_BLK.MODEXP_SEQ.456:IF","[]"
"SEQ_BLK.280:IF","[]"
"SEQ_BLK.231:BL
state <= IDLE;
Kvldrg <= 1'b1;
Kvldrg_tmp <= 1'b1;
count <= 5'b00000;","[('RSA_tb.RSA.SEQ_BLK.state[2:0]', 2, 0), ('RSA_tb.RSA.SEQ_BLK.Kvldrg', 0, 0), ('RSA_tb.RSA.SEQ_BLK.Kvldrg_tmp', 0, 0), ('RSA_tb.RSA.SEQ_BLK.count[4:0]', 4, 0)]"
"SEQ_BLK.INVN_SEQ.730:AS
Hlt = pc[6];","[('RSA_tb.RSA.SEQ_BLK.INVN_SEQ.Hlt', 0, 0), ('RSA_tb.RSA.SEQ_BLK.INVN_SEQ.pc[6:0]', 6, 6)]"
"SEQ_BLK.ONE_SEQ.787:IF","[]"
"SEQ_BLK.ONE_SEQ.Leaf_786:AL","[]"
