"Node","Matches"
"149:NS
bram_address_relative <= bram_address_relative + 7'd1;","[('poly_mul256_parallel_in2_bench.bram_address_relative[6:0]', 6, 0)]"
"PMULTs.sa24.729:AS
a_mul_s = (s[2:0] == 3'd0)? 13'd0 :
(s[2:0] == 3'd1)? a :
(s[2:0] == 3'd2)? { a[11:0], 1'b0 } :
(s[2:0] == 3'd3)? ax3 :
(s[2:0] == 3'd4)? { a[10:0], 2'b0 } : ax5;","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa24.a_mul_s[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa24.s[3:0]', 2, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa24.a[12:0]', 11, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa24.ax3[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa24.a[12:0]', 10, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa24.ax5[12:0]', 12, 0)]"
"PMULTs.sa254.748:AS
result = (s[3])? Ri - a_mul_s : Ri + a_mul_s;","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa254.result[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa254.s[3:0]', 3, 3), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa254.Ri[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa254.a_mul_s[12:0]', 12, 0)]"
"PMULTs.sa89.729:AS
a_mul_s = (s[2:0] == 3'd0)? 13'd0 :
(s[2:0] == 3'd1)? a :
(s[2:0] == 3'd2)? { a[11:0], 1'b0 } :
(s[2:0] == 3'd3)? ax3 :
(s[2:0] == 3'd4)? { a[10:0], 2'b0 } : ax5;","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa89.a_mul_s[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa89.s[3:0]', 2, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa89.a[12:0]', 11, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa89.ax3[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa89.a[12:0]', 10, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa89.ax5[12:0]', 12, 0)]"
"PMULTs.sa128.716:AS
ax5 = a + { a[10:0], 2'b0 };","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa128.ax5[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa128.a[12:0]', 10, 0)]"
"PMULTs.sa212.714:AS
ax3 = a + { a[11:0], 1'b0 };","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa212.ax3[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa212.a[12:0]', 11, 0)]"
"224:BL
shift_secret <= 1'b1;
bram_address_inc <= 1'b0;
poly_load <= 0;
poly_shift <= 1;
rst_buffer_counter <= 0;
rst_mult_counter <= 0;","[('poly_mul256_parallel_in2_bench.uut.shift_secret', 0, 0), ('poly_mul256_parallel_in2_bench.uut.bram_address_inc', 0, 0), ('poly_mul256_parallel_in2_bench.uut.poly_load', 0, 0), ('poly_mul256_parallel_in2_bench.uut.poly_shift', 0, 0), ('poly_mul256_parallel_in2_bench.uut.rst_buffer_counter', 0, 0), ('poly_mul256_parallel_in2_bench.uut.rst_mult_counter', 0, 0)]"
"PMULTs.sa153.714:AS
ax3 = a + { a[11:0], 1'b0 };","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa153.ax3[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa153.a[12:0]', 11, 0)]"
"PMULTs.sa229.714:AS
ax3 = a + { a[11:0], 1'b0 };","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa229.ax3[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa229.a[12:0]', 11, 0)]"
"250:NS
nextstate <= 1;","[('poly_mul256_parallel_in2_bench.uut.nextstate[3:0]', 3, 0)]"
"PMULTs.sa249.729:AS
a_mul_s = (s[2:0] == 3'd0)? 13'd0 :
(s[2:0] == 3'd1)? a :
(s[2:0] == 3'd2)? { a[11:0], 1'b0 } :
(s[2:0] == 3'd3)? ax3 :
(s[2:0] == 3'd4)? { a[10:0], 2'b0 } : ax5;","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa249.a_mul_s[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa249.s[3:0]', 2, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa249.a[12:0]', 11, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa249.ax3[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa249.a[12:0]', 10, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa249.ax5[12:0]', 12, 0)]"
"PMULTs.sa254.716:AS
ax5 = a + { a[10:0], 2'b0 };","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa254.ax5[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa254.a[12:0]', 10, 0)]"
"PMULTs.sa42.716:AS
ax5 = a + { a[10:0], 2'b0 };","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa42.ax5[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa42.a[12:0]', 10, 0)]"
"PMULTs.sa217.714:AS
ax3 = a + { a[11:0], 1'b0 };","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa217.ax3[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa217.a[12:0]', 11, 0)]"
"230:CA","[]"
"PMULTs.sa4.748:AS
result = (s[3])? Ri - a_mul_s : Ri + a_mul_s;","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa4.result[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa4.s[3:0]', 3, 3), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa4.Ri[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa4.a_mul_s[12:0]', 12, 0)]"
"PMULTs.sa232.748:AS
result = (s[3])? Ri - a_mul_s : Ri + a_mul_s;","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa232.result[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa232.s[3:0]', 3, 3), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa232.Ri[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa232.a_mul_s[12:0]', 12, 0)]"
"PMULTs.sa47.748:AS
result = (s[3])? Ri - a_mul_s : Ri + a_mul_s;","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa47.result[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa47.s[3:0]', 3, 3), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa47.Ri[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa47.a_mul_s[12:0]', 12, 0)]"
"PLC.677:AL","[]"
"PMULTs.sa83.716:AS
ax5 = a + { a[10:0], 2'b0 };","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa83.ax5[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa83.a[12:0]', 10, 0)]"
"PMULTs.sa146.714:AS
ax3 = a + { a[11:0], 1'b0 };","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa146.ax3[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa146.a[12:0]', 11, 0)]"
"PMULTs.sa242.716:AS
ax5 = a + { a[10:0], 2'b0 };","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa242.ax5[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa242.a[12:0]', 10, 0)]"
"PMULTs.sa106.729:AS
a_mul_s = (s[2:0] == 3'd0)? 13'd0 :
(s[2:0] == 3'd1)? a :
(s[2:0] == 3'd2)? { a[11:0], 1'b0 } :
(s[2:0] == 3'd3)? ax3 :
(s[2:0] == 3'd4)? { a[10:0], 2'b0 } : ax5;","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa106.a_mul_s[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa106.s[3:0]', 2, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa106.a[12:0]', 11, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa106.ax3[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa106.a[12:0]', 10, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa106.ax5[12:0]', 12, 0)]"
"PMULTs.sa159.714:AS
ax3 = a + { a[11:0], 1'b0 };","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa159.ax3[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa159.a[12:0]', 11, 0)]"
"PMULTs.sa132.748:AS
result = (s[3])? Ri - a_mul_s : Ri + a_mul_s;","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa132.result[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa132.s[3:0]', 3, 3), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa132.Ri[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa132.a_mul_s[12:0]', 12, 0)]"
"PMULTs.sa187.714:AS
ax3 = a + { a[11:0], 1'b0 };","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa187.ax3[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa187.a[12:0]', 11, 0)]"
"PMULTs.sa93.729:AS
a_mul_s = (s[2:0] == 3'd0)? 13'd0 :
(s[2:0] == 3'd1)? a :
(s[2:0] == 3'd2)? { a[11:0], 1'b0 } :
(s[2:0] == 3'd3)? ax3 :
(s[2:0] == 3'd4)? { a[10:0], 2'b0 } : ax5;","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa93.a_mul_s[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa93.s[3:0]', 2, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa93.a[12:0]', 11, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa93.ax3[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa93.a[12:0]', 10, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa93.ax5[12:0]', 12, 0)]"
"PMULTs.sa223.714:AS
ax3 = a + { a[11:0], 1'b0 };","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa223.ax3[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa223.a[12:0]', 11, 0)]"
"PMULTs.sa254.714:AS
ax3 = a + { a[11:0], 1'b0 };","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa254.ax3[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa254.a[12:0]', 11, 0)]"
"PMULTs.sa175.714:AS
ax3 = a + { a[11:0], 1'b0 };","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa175.ax3[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa175.a[12:0]', 11, 0)]"
"PLC.694:NS
poly_word_counter <= poly_word_counter;","[('poly_mul256_parallel_in2_bench.uut.PLC.poly_word_counter[4:0]', 4, 0)]"
"PMULTs.sa198.748:AS
result = (s[3])? Ri - a_mul_s : Ri + a_mul_s;","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa198.result[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa198.s[3:0]', 3, 3), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa198.Ri[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa198.a_mul_s[12:0]', 12, 0)]"
"PMULTs.sa104.729:AS
a_mul_s = (s[2:0] == 3'd0)? 13'd0 :
(s[2:0] == 3'd1)? a :
(s[2:0] == 3'd2)? { a[11:0], 1'b0 } :
(s[2:0] == 3'd3)? ax3 :
(s[2:0] == 3'd4)? { a[10:0], 2'b0 } : ax5;","[('poly_mul256_parallel_in2_bench.uut.PMULTs.sa104.a_mul_s[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa104.s[3:0]', 2, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa104.a[12:0]', 11, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa104.ax3[12:0]', 12, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa104.a[12:0]', 10, 0), ('poly_mul256_parallel_in2_bench.uut.PMULTs.sa104.ax5[12:0]', 12, 0)]"
"253:CA","[]"
