"Node","Matches"
"257:IF","[]"
"358:NS
{ istate[0], istate[1], istate[2], istate[3] } <= { istate[0], istate[1], istate[2], istate[3] };","[]"
"208:AL","[]"
"InvMixColumn1.727:AS
m0c = mul4x8({ 4'he }, s0c) ^ mul4x8({ 4'hb }, s1c) ^ mul4x8({ 4'hd }, s2c) ^ mul4x8({ 4'h9 }, s3c);","[('aes128_table_ecb_bench.dut.InvMixColumn1.m0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn1.s0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn1.s1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn1.s2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn1.s3c[7:0]', 7, 0)]"
"97:BS
next_state = 3'h1;","[('aes128_table_ecb_bench.dut.next_state[2:0]', 2, 0)]"
"169:NS
{ w[0], w[1], w[2], w[3] } <= key_in;","[('aes128_table_ecb_bench.key_in[127:0]', 127, 0)]"
"268:NS
{ state[0], state[1], state[2], state[3] } <= { state[0], state[1], state[2], state[3] };","[]"
"SubBytes.457:AS
b21 = s_box(a21);","[('aes128_table_ecb_bench.dut.SubBytes.b21[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.SubBytes.a21[7:0]', 7, 0)]"
"105:CA","[]"
"170:NS
{ w[0], w[1], w[2], w[3] } <= next_key;","[('aes128_table_ecb_bench.dut.next_key[127:0]', 127, 0)]"
"252:BL
{ state[0], state[1], state[2], state[3] } <= { 128{ 1'b0 } };","[]"
"187:AS
next_key[95:64] = w[1] ^ next_key[127:96];","[('aes128_table_ecb_bench.dut.next_key[127:0]', 95, 64), ('aes128_table_ecb_bench.dut.next_key[127:0]', 127, 96)]"
"208:BL","[]"
"136:IF","[]"
"SubBytes.452:AS
b20 = s_box(a20);","[('aes128_table_ecb_bench.dut.SubBytes.b20[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.SubBytes.a20[7:0]', 7, 0)]"
"141:IF","[]"
"96:IF","[]"
"375:AS
{ is_row_in[0][2], is_row_in[1][2], is_row_in[2][2], is_row_in[3][2] } = istate[2];","[]"
"InvMixColumn3.730:AS
m3c = mul4x8({ 4'hb }, s0c) ^ mul4x8({ 4'hd }, s1c) ^ mul4x8({ 4'h9 }, s2c) ^ mul4x8({ 4'he }, s3c);","[('aes128_table_ecb_bench.dut.InvMixColumn3.m3c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn3.s0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn3.s1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn3.s2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn3.s3c[7:0]', 7, 0)]"
"SubBytes.460:AS
b02 = s_box(a02);","[('aes128_table_ecb_bench.dut.SubBytes.b02[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.SubBytes.a02[7:0]', 7, 0)]"
"347:BL","[]"
"94:CS","[]"
"103:BS
next_state = 3'h0;","[('aes128_table_ecb_bench.dut.next_state[2:0]', 2, 0)]"
"147:NS
key_val <= key_val;","[('aes128_table_ecb_bench.key_val', 0, 0)]"
"102:BS
next_state = 3'h1;","[('aes128_table_ecb_bench.dut.next_state[2:0]', 2, 0)]"
"SubBytes.455:AS
b01 = s_box(a01);","[('aes128_table_ecb_bench.dut.SubBytes.b01[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.SubBytes.a01[7:0]', 7, 0)]"
"95:CA","[]"
"355:IF","[]"
"404:AS
add_iroundkey[95:64] = { is_box[0][1], is_box[1][1], is_box[2][1], is_box[3][1] } ^ iw[1];","[('aes128_table_ecb_bench.dut.add_iroundkey[127:0]', 95, 64)]"
"110:IF","[]"
"175:NS
round10_key <= round10_key;","[('aes128_table_ecb_bench.dut.round10_key[127:0]', 127, 0)]"
"381:AS
{ is_row[3][3], is_row[3][0], is_row[3][1], is_row[3][2] } = { is_row_in[3][0], is_row_in[3][1], is_row_in[3][2], is_row_in[3][3] };","[]"
"InvMixColumn1.730:AS
m3c = mul4x8({ 4'hb }, s0c) ^ mul4x8({ 4'hd }, s1c) ^ mul4x8({ 4'h9 }, s2c) ^ mul4x8({ 4'he }, s3c);","[('aes128_table_ecb_bench.dut.InvMixColumn1.m3c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn1.s0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn1.s1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn1.s2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn1.s3c[7:0]', 7, 0)]"
"InvSubBytes.548:AS
b12 = is_box(a12);","[('aes128_table_ecb_bench.dut.InvSubBytes.b12[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvSubBytes.a12[7:0]', 7, 0)]"
"343:AL","[]"
"InvSubBytes.542:AS
b01 = is_box(a01);","[('aes128_table_ecb_bench.dut.InvSubBytes.b01[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvSubBytes.a01[7:0]', 7, 0)]"
"137:NS
start_flag <= 1'b0;","[('aes128_table_ecb_bench.dut.start_flag', 0, 0)]"
"162:BL","[]"
"InvSubBytes.552:AS
b03 = is_box(a03);","[('aes128_table_ecb_bench.dut.InvSubBytes.b03[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvSubBytes.a03[7:0]', 7, 0)]"
"119:BL
busy <= 1'b0;
start_flag <= 1'b0;
key_val <= 1'b0;
round_n <= 4'h0;
key_val <= 1'b0;
text_val <= 1'b0;","[('aes128_table_ecb_bench.busy', 0, 0), ('aes128_table_ecb_bench.dut.start_flag', 0, 0), ('aes128_table_ecb_bench.key_val', 0, 0), ('aes128_table_ecb_bench.dut.round_n[3:0]', 3, 0), ('aes128_table_ecb_bench.key_val', 0, 0), ('aes128_table_ecb_bench.text_val', 0, 0)]"
"97:IF","[]"
"InvSubBytes.549:AS
b22 = is_box(a22);","[('aes128_table_ecb_bench.dut.InvSubBytes.b22[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvSubBytes.a22[7:0]', 7, 0)]"
"MixColumns1.679:AS
m1c = mul4x8({ 4'h1 }, s0c) ^ mul4x8({ 4'h2 }, s1c) ^ mul4x8({ 4'h3 }, s2c) ^ mul4x8({ 4'h1 }, s3c);","[('aes128_table_ecb_bench.dut.MixColumns1.m1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns1.s0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns1.s1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns1.s2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns1.s3c[7:0]', 7, 0)]"
"344:BL
{ istate[0], istate[1], istate[2], istate[3] } <= { 128{ 1'b0 } };","[]"
"343:BL","[]"
"146:IF","[]"
"213:NS
{ iw[0], iw[1], iw[2], iw[3] } <= { w[0], w[1], w[2], w[3] };","[]"
"95:IF","[]"
"209:IF","[]"
"263:BL
{ state[0], state[1], state[2], state[3] } <= cipher_text;","[('aes128_table_ecb_bench.dut.cipher_text[127:0]', 127, 0)]"
"373:AS
{ is_row_in[0][0], is_row_in[1][0], is_row_in[2][0], is_row_in[3][0] } = istate[0];","[]"
"189:AS
next_key[31:0] = w[3] ^ next_key[63:32];","[('aes128_table_ecb_bench.dut.next_key[127:0]', 31, 0), ('aes128_table_ecb_bench.dut.next_key[127:0]', 63, 32)]"
"95:BS
next_state = 3'h1;","[('aes128_table_ecb_bench.dut.next_state[2:0]', 2, 0)]"
"InvSubBytes.539:AS
b20 = is_box(a20);","[('aes128_table_ecb_bench.dut.InvSubBytes.b20[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvSubBytes.a20[7:0]', 7, 0)]"
"326:AS
add_roundkey[63:32] = { m_col[0][2], m_col[1][2], m_col[2][2], m_col[3][2] } ^ w[2];","[('aes128_table_ecb_bench.dut.add_roundkey[127:0]', 63, 32)]"
"104:BS
next_state = 3'h2;","[('aes128_table_ecb_bench.dut.next_state[2:0]', 2, 0)]"
"141:NS
round_n <= 4'h0;","[('aes128_table_ecb_bench.dut.round_n[3:0]', 3, 0)]"
"266:NS
{ state[0], state[1], state[2], state[3] } <= { state[0], state[1], state[2], state[3] };","[]"
"InvSubBytes.555:AS
b33 = is_box(a33);","[('aes128_table_ecb_bench.dut.InvSubBytes.b33[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvSubBytes.a33[7:0]', 7, 0)]"
"403:AS
add_iroundkey[127:96] = { is_box[0][0], is_box[1][0], is_box[2][0], is_box[3][0] } ^ iw[0];","[('aes128_table_ecb_bench.dut.add_iroundkey[127:0]', 127, 96)]"
"260:IF","[]"
"374:AS
{ is_row_in[0][1], is_row_in[1][1], is_row_in[2][1], is_row_in[3][1] } = istate[1];","[]"
"216:NS
{ iw[0], iw[1], iw[2], iw[3] } <= { iw[0], iw[1], iw[2], iw[3] };","[]"
"SubBytes.462:AS
b22 = s_box(a22);","[('aes128_table_ecb_bench.dut.SubBytes.b22[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.SubBytes.a22[7:0]', 7, 0)]"
"379:AS
{ is_row[1][1], is_row[1][2], is_row[1][3], is_row[1][0] } = { is_row_in[1][0], is_row_in[1][1], is_row_in[1][2], is_row_in[1][3] };","[]"
"378:AS
{ is_row[0][0], is_row[0][1], is_row[0][2], is_row[0][3] } = { is_row_in[0][0], is_row_in[0][1], is_row_in[0][2], is_row_in[0][3] };","[]"
"226:AS
irotword = { sword[23:0], sword[31:24] };","[('aes128_table_ecb_bench.dut.irotword[31:0]', 31, 0), ('aes128_table_ecb_bench.dut.sword[31:0]', 23, 0), ('aes128_table_ecb_bench.dut.sword[31:0]', 31, 24)]"
"214:NS
{ iw[0], iw[1], iw[2], iw[3] } <= round10_key;","[('aes128_table_ecb_bench.dut.round10_key[127:0]', 127, 0)]"
"131:IF","[]"
"131:NS
busy <= 1'b1;","[('aes128_table_ecb_bench.busy', 0, 0)]"
"InvMixColumn0.730:AS
m3c = mul4x8({ 4'hb }, s0c) ^ mul4x8({ 4'hd }, s1c) ^ mul4x8({ 4'h9 }, s2c) ^ mul4x8({ 4'he }, s3c);","[('aes128_table_ecb_bench.dut.InvMixColumn0.m3c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn0.s0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn0.s1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn0.s2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn0.s3c[7:0]', 7, 0)]"
"325:AS
add_roundkey[95:64] = { m_col[0][1], m_col[1][1], m_col[2][1], m_col[3][1] } ^ w[1];","[('aes128_table_ecb_bench.dut.add_roundkey[127:0]', 95, 64)]"
"171:NS
{ w[0], w[1], w[2], w[3] } <= { w[0], w[1], w[2], w[3] };","[]"
"InvMixColumn2.729:AS
m2c = mul4x8({ 4'hd }, s0c) ^ mul4x8({ 4'h9 }, s1c) ^ mul4x8({ 4'he }, s2c) ^ mul4x8({ 4'hb }, s3c);","[('aes128_table_ecb_bench.dut.InvMixColumn2.m2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn2.s0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn2.s1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn2.s2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn2.s3c[7:0]', 7, 0)]"
"348:BL","[]"
"332:AS
cipher_text[95:64] = { s_row[0][1], s_row[1][1], s_row[2][1], s_row[3][1] } ^ w[1];","[('aes128_table_ecb_bench.dut.cipher_text[127:0]', 95, 64)]"
"InvMixColumn3.729:AS
m2c = mul4x8({ 4'hd }, s0c) ^ mul4x8({ 4'h9 }, s1c) ^ mul4x8({ 4'he }, s2c) ^ mul4x8({ 4'hb }, s3c);","[('aes128_table_ecb_bench.dut.InvMixColumn3.m2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn3.s0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn3.s1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn3.s2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn3.s3c[7:0]', 7, 0)]"
"257:BL
{ state[0], state[1], state[2], state[3] } <= add_roundkey0;","[('aes128_table_ecb_bench.dut.add_roundkey0[127:0]', 127, 0)]"
"256:BL","[]"
"InvSubBytes.545:AS
b31 = is_box(a31);","[('aes128_table_ecb_bench.dut.InvSubBytes.b31[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvSubBytes.a31[7:0]', 7, 0)]"
"SubBytes.453:AS
b30 = s_box(a30);","[('aes128_table_ecb_bench.dut.SubBytes.b30[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.SubBytes.a30[7:0]', 7, 0)]"
"101:CA","[]"
